"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp2W_bs2622B.csv -cnm --socket 1 300",,,,"Date:","17 Jul 2017 12:08:20 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.636,5.690,90.574,0.072,0.0,2.028,0.0,0.0,139964416.0,55267328.0,357187584.0,415789056.0,351.0,4.0,6.0,0.0,0.0
0.809,13.477,83.558,0.0,0.0,2.156,253296.0,669.0,140083200.0,55267328.0,357191680.0,415666176.0,351.0,4.0,6.0,0.0,0.0
2.162,15.135,80.541,0.0,0.0,2.162,242834.0,98.0,140075008.0,55267328.0,357191680.0,415674368.0,351.0,4.0,6.0,0.0,0.0
2.145,15.282,80.429,0.0,0.0,2.145,248894.0,278.0,140042240.0,55267328.0,357191680.0,415707136.0,350.0,3.0,6.0,0.0,0.0
1.081,12.973,83.243,0.0,0.0,2.703,244422.0,722.0,140042240.0,55267328.0,357191680.0,415707136.0,351.0,4.0,6.0,0.0,0.0
1.355,11.653,83.198,0.0,0.0,3.794,241132.0,98.0,140034048.0,55275520.0,357191680.0,415707136.0,351.0,4.0,6.0,0.0,0.0
6.504,12.737,76.965,0.0,0.0,3.794,245842.0,188.0,139755520.0,55275520.0,357191680.0,415985664.0,350.0,3.0,6.0,0.0,0.0
0.535,10.963,84.492,0.0,0.0,4.011,229954.0,196.0,139907072.0,55275520.0,357191680.0,415834112.0,351.0,4.0,6.0,0.0,0.0
1.117,15.084,80.447,0.0,0.0,3.352,240450.0,1257.0,140288000.0,55275520.0,357191680.0,415453184.0,351.0,4.0,6.0,0.0,0.0
1.133,17.564,77.054,0.0,0.0,4.249,244018.0,290.0,140333056.0,55275520.0,357191680.0,415408128.0,351.0,4.0,6.0,0.0,0.0
1.146,17.192,77.937,0.287,0.0,3.438,248820.0,200.0,140279808.0,55279616.0,357187584.0,415461376.0,350.0,3.0,6.0,0.0,0.0
1.445,9.249,88.150,0.0,0.0,1.156,252520.0,196.0,140283904.0,55279616.0,357191680.0,415453184.0,351.0,4.0,6.0,0.0,0.0
0.588,8.824,89.706,0.0,0.0,0.882,258474.0,196.0,140800000.0,55279616.0,357191680.0,414937088.0,351.0,4.0,6.0,0.0,0.0
0.867,8.960,89.306,0.0,0.0,0.867,255806.0,98.0,140791808.0,55279616.0,357191680.0,414945280.0,351.0,4.0,6.0,0.0,0.0
1.072,15.013,81.233,0.0,0.0,2.681,254168.0,310.0,140791808.0,55279616.0,357191680.0,414945280.0,351.0,4.0,6.0,0.0,0.0
0.271,13.008,83.198,0.0,0.0,3.523,261232.0,368.0,140918784.0,55283712.0,357187584.0,414818304.0,351.0,4.0,6.0,0.0,0.0
