"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs8B.csv -cnm --socket 1 240",,,,"Date:","20 Jul 2017 14:16:26 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.226,3.873,92.763,0.131,0.0,1.007,0.0,0.0,169598976.0,64909312.0,350396416.0,383303680.0,349.0,3.0,6.0,0.0,0.0
1.075,5.914,89.785,0.0,0.0,3.226,142212.0,1853.0,169840640.0,64909312.0,350408704.0,383049728.0,349.0,3.0,6.0,0.0,0.0
1.653,15.702,79.614,0.0,0.0,3.030,129646.0,865.0,170364928.0,64909312.0,350408704.0,382525440.0,350.0,4.0,6.0,0.0,0.0
1.090,13.896,81.199,0.0,0.0,3.815,139066.0,560.0,170348544.0,64909312.0,350408704.0,382541824.0,349.0,3.0,6.0,0.0,0.0
0.817,10.354,85.559,0.0,0.0,3.270,137847.0,1317.0,170340352.0,64917504.0,350408704.0,382541824.0,349.0,3.0,6.0,0.0,0.0
0.783,7.311,87.728,0.0,0.0,4.178,126610.0,865.0,170340352.0,64917504.0,350408704.0,382541824.0,350.0,4.0,6.0,0.0,0.0
1.538,7.179,86.667,0.0,0.0,4.615,137042.0,560.0,170340352.0,64917504.0,350408704.0,382541824.0,349.0,3.0,6.0,0.0,0.0
1.872,8.289,88.503,0.0,0.0,1.337,136732.0,1611.0,170348544.0,64917504.0,350408704.0,382533632.0,349.0,4.0,6.0,0.0,0.0
1.319,7.916,88.654,0.0,0.0,2.111,127280.0,510.0,170340352.0,64917504.0,350408704.0,382541824.0,350.0,4.0,6.0,0.0,0.0
1.039,9.610,87.273,0.0,0.0,2.078,136914.0,1511.0,170299392.0,64925696.0,350408704.0,382574592.0,349.0,4.0,6.0,0.0,0.0
1.600,8.0,88.267,0.0,0.0,2.133,124632.0,298.0,170332160.0,64925696.0,350408704.0,382541824.0,350.0,4.0,6.0,0.0,0.0
0.783,9.661,87.467,0.0,0.0,2.089,129298.0,534.0,170332160.0,64925696.0,350408704.0,382541824.0,350.0,4.0,6.0,0.0,0.0
3.412,6.824,84.777,0.0,0.0,4.987,130546.0,278.0,170340352.0,64925696.0,350408704.0,382533632.0,349.0,3.0,6.0,0.0,0.0
18.734,9.235,65.699,0.0,0.0,6.332,130298.0,420.0,175157248.0,64925696.0,350408704.0,377716736.0,350.0,3.0,6.0,0.0,0.0
9.585,10.881,75.389,0.259,0.0,3.886,129766.0,110.0,176676864.0,64929792.0,350408704.0,376193024.0,349.0,3.0,6.0,0.0,0.0
9.893,14.973,71.390,0.0,0.0,3.743,136018.0,1045.0,176693248.0,64929792.0,350408704.0,376176640.0,350.0,4.0,6.0,0.0,0.0
5.450,16.349,74.932,0.0,0.0,3.270,130158.0,458.0,176525312.0,64929792.0,350408704.0,376344576.0,349.0,3.0,6.0,0.0,0.0
0.809,11.321,85.984,0.0,0.0,1.887,137232.0,1225.0,170610688.0,64929792.0,350408704.0,382259200.0,349.0,4.0,6.0,0.0,0.0
