"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp1w_bs4B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 12:40:20 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.416,5.121,90.684,0.135,0.0,1.645,0.0,0.0,151646208.0,62873600.0,380088320.0,373600256.0,349.0,3.0,6.0,0.0,0.0
1.370,12.877,80.274,0.0,0.0,5.479,380104.0,164515.0,152494080.0,62873600.0,380092416.0,372748288.0,349.0,4.0,6.0,0.0,0.0
1.120,12.885,81.793,0.0,0.0,4.202,405074.0,149778.0,152502272.0,62873600.0,380092416.0,372740096.0,350.0,4.0,6.0,0.0,0.0
0.831,14.127,82.548,0.277,0.0,2.216,401264.0,154699.0,152489984.0,62881792.0,380096512.0,372740096.0,349.0,4.0,6.0,0.0,0.0
0.554,14.404,81.717,0.0,0.0,3.324,416058.0,142198.0,152588288.0,62881792.0,380096512.0,372641792.0,350.0,4.0,6.0,0.0,0.0
1.639,11.475,79.508,0.0,0.0,7.377,408204.0,130893.0,152498176.0,62881792.0,380096512.0,372731904.0,349.0,3.0,6.0,0.0,0.0
0.559,13.408,82.682,0.0,0.0,3.352,438550.0,148815.0,152367104.0,62881792.0,380096512.0,372862976.0,349.0,4.0,6.0,0.0,0.0
1.408,19.437,73.803,0.0,0.0,5.352,425610.0,123668.0,152506368.0,62881792.0,380096512.0,372723712.0,350.0,4.0,6.0,0.0,0.0
0.297,19.288,75.371,0.0,0.0,5.045,445238.0,124992.0,152596480.0,62881792.0,380096512.0,372633600.0,350.0,4.0,6.0,0.0,0.0
0.567,16.997,75.354,0.0,0.0,7.082,416926.0,149945.0,152481792.0,62889984.0,380096512.0,372740096.0,350.0,4.0,6.0,0.0,0.0
1.351,14.865,80.811,0.0,0.0,2.973,386568.0,160780.0,152711168.0,62889984.0,380096512.0,372510720.0,350.0,4.0,6.0,0.0,0.0
1.671,11.699,81.058,0.0,0.0,5.571,373846.0,147440.0,152580096.0,62889984.0,380096512.0,372641792.0,349.0,3.0,6.0,0.0,0.0
0.833,10.833,83.056,0.0,0.0,5.278,403700.0,144759.0,152481792.0,62889984.0,380096512.0,372740096.0,350.0,4.0,6.0,0.0,0.0
1.393,13.092,81.337,0.0,0.0,4.178,420726.0,130750.0,152514560.0,62889984.0,380096512.0,372707328.0,349.0,3.0,6.0,0.0,0.0
0.817,11.172,82.561,0.0,0.0,5.450,346750.0,173770.0,152600576.0,62894080.0,380096512.0,372617216.0,350.0,4.0,6.0,0.0,0.0
1.114,13.649,82.173,0.0,0.0,3.064,428240.0,138953.0,152477696.0,62894080.0,380096512.0,372740096.0,350.0,4.0,6.0,0.0,0.0
1.648,12.912,80.495,0.0,0.0,4.945,396196.0,152660.0,152641536.0,62894080.0,380096512.0,372576256.0,350.0,4.0,6.0,0.0,0.0
1.635,12.262,81.471,0.0,0.0,4.632,353206.0,181390.0,152543232.0,62894080.0,380096512.0,372674560.0,349.0,3.0,6.0,0.0,0.0
1.662,11.634,81.717,0.0,0.0,4.986,372142.0,166563.0,152567808.0,62894080.0,380096512.0,372649984.0,349.0,4.0,6.0,0.0,0.0
0.811,13.784,80.541,0.0,0.0,4.865,387108.0,157598.0,152477696.0,62894080.0,380096512.0,372740096.0,350.0,4.0,6.0,0.0,0.0
0.570,21.652,73.504,0.0,0.0,4.274,406404.0,137550.0,152526848.0,62898176.0,380092416.0,372690944.0,350.0,4.0,6.0,0.0,0.0
0.845,21.972,72.394,0.0,0.0,4.789,421726.0,131121.0,152477696.0,62898176.0,380092416.0,372740096.0,349.0,3.0,6.0,0.0,0.0
1.408,17.465,75.493,0.0,0.0,5.634,410404.0,135968.0,152752128.0,62898176.0,380096512.0,372461568.0,351.0,4.0,6.0,0.0,0.0
1.133,13.314,83.286,0.0,0.0,2.266,395125.0,145160.0,152752128.0,62898176.0,380096512.0,372461568.0,351.0,4.0,6.0,0.0,0.0
1.117,12.570,82.402,0.0,0.0,3.911,404910.0,147912.0,152768512.0,62898176.0,380096512.0,372445184.0,351.0,4.0,6.0,0.0,0.0
1.613,13.441,80.108,0.538,0.0,4.301,362258.0,138180.0,152612864.0,62898176.0,380100608.0,372596736.0,350.0,4.0,6.0,0.0,0.0
1.653,14.050,81.267,0.0,0.0,3.030,382308.0,147650.0,152702976.0,62898176.0,380100608.0,372506624.0,349.0,4.0,6.0,0.0,0.0
0.829,10.221,83.978,0.0,0.0,4.972,351766.0,185819.0,152670208.0,62898176.0,380100608.0,372539392.0,350.0,4.0,6.0,0.0,0.0
1.093,13.115,79.781,0.273,0.0,5.738,413686.0,133944.0,152682496.0,62910464.0,380088320.0,372527104.0,350.0,4.0,6.0,0.0,0.0
1.340,14.477,79.088,0.0,0.0,5.094,377482.0,162650.0,152555520.0,62910464.0,380137472.0,372604928.0,349.0,3.0,6.0,0.0,0.0
0.815,14.130,81.522,0.0,0.0,3.533,371656.0,160188.0,152551424.0,62910464.0,380141568.0,372604928.0,350.0,4.0,6.0,0.0,0.0
0.817,14.986,80.926,0.0,0.0,3.270,391214.0,152280.0,152551424.0,62910464.0,380141568.0,372604928.0,350.0,4.0,6.0,0.0,0.0
0.546,13.115,80.601,0.0,0.0,5.738,377790.0,135131.0,152551424.0,62910464.0,380141568.0,372604928.0,349.0,4.0,6.0,0.0,0.0
1.064,18.351,72.340,1.330,0.0,6.915,365478.0,131416.0,152588288.0,62914560.0,380141568.0,372563968.0,350.0,5.0,6.0,0.0,0.0
1.111,15.556,79.444,0.0,0.0,3.889,300170.0,73288.0,152563712.0,62914560.0,380141568.0,372588544.0,350.0,4.0,6.0,0.0,0.0
1.026,15.641,74.103,0.0,0.0,9.231,420280.0,137210.0,152715264.0,62914560.0,380141568.0,372436992.0,349.0,3.0,6.0,0.0,0.0
0.829,13.536,81.492,0.0,0.0,4.144,436636.0,135550.0,152752128.0,62914560.0,380141568.0,372400128.0,350.0,4.0,6.0,0.0,0.0
1.348,14.286,79.245,0.0,0.0,5.121,412914.0,131320.0,152825856.0,62914560.0,380141568.0,372326400.0,350.0,4.0,6.0,0.0,0.0
1.102,14.325,81.267,0.0,0.0,3.306,399436.0,140390.0,152932352.0,62914560.0,380141568.0,372219904.0,349.0,3.0,6.0,0.0,0.0
0.559,9.777,81.844,0.0,0.0,7.821,420458.0,120920.0,152850432.0,62914560.0,380141568.0,372301824.0,350.0,4.0,6.0,0.0,0.0
0.824,12.088,80.495,0.0,0.0,6.593,442310.0,131072.0,152875008.0,62914560.0,380141568.0,372277248.0,350.0,4.0,6.0,0.0,0.0
0.813,11.653,81.301,0.0,0.0,6.233,416104.0,143960.0,152883200.0,62914560.0,380141568.0,372269056.0,349.0,3.0,6.0,0.0,0.0
0.563,11.268,83.944,0.0,0.0,4.225,426038.0,147728.0,152715264.0,62914560.0,380141568.0,372436992.0,350.0,4.0,6.0,0.0,0.0
0.548,14.247,80.822,0.0,0.0,4.384,403677.0,126947.0,152698880.0,62914560.0,380141568.0,372453376.0,349.0,3.0,6.0,0.0,0.0
