"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs2048B.csv -cnm --socket 1 300",,,,"Date:","18 Jul 2017 07:56:39 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
0.982,4.141,93.457,0.051,0.0,1.370,0.0,0.0,172793856.0,47874048.0,302579712.0,444960768.0,344.0,4.0,6.0,0.0,1.0
1.084,1.626,95.122,0.0,0.0,2.168,3300612.0,712.0,173301760.0,47874048.0,302592000.0,444440576.0,344.0,4.0,6.0,0.0,1.0
0.269,3.763,93.548,0.0,0.0,2.419,3349336.0,614.0,172859392.0,47874048.0,302592000.0,444882944.0,344.0,4.0,6.0,0.0,1.0
0.509,6.616,90.331,0.0,0.0,2.545,3390084.0,614.0,172490752.0,47874048.0,302592000.0,445251584.0,344.0,4.0,6.0,0.0,1.0
0.787,3.412,92.913,0.0,0.0,2.887,3339588.0,1014.0,172564480.0,47874048.0,302592000.0,445177856.0,344.0,4.0,6.0,0.0,1.0
1.072,1.877,95.442,0.0,0.0,1.609,3201176.0,614.0,172367872.0,47874048.0,302592000.0,445374464.0,344.0,4.0,6.0,0.0,1.0
1.099,8.516,87.637,0.275,0.0,2.473,3246302.0,782.0,172482560.0,47882240.0,302592000.0,445251584.0,344.0,3.0,6.0,0.0,1.0
1.067,10.667,84.800,0.0,0.0,3.467,3302548.0,712.0,172859392.0,47882240.0,302592000.0,444874752.0,345.0,4.0,6.0,0.0,1.0
0.800,10.667,86.933,0.0,0.0,1.600,3345680.0,712.0,173342720.0,47882240.0,302592000.0,444391424.0,345.0,4.0,6.0,0.0,1.0
0.545,0.545,97.548,0.0,0.0,1.362,3241764.0,614.0,173666304.0,47882240.0,302592000.0,444067840.0,344.0,4.0,6.0,0.0,1.0
0.798,2.660,94.415,0.0,0.0,2.128,3363580.0,1014.0,173875200.0,47882240.0,302596096.0,443854848.0,344.0,4.0,6.0,0.0,1.0
1.302,3.385,92.188,0.0,0.0,3.125,3377558.0,704.0,173604864.0,47890432.0,302596096.0,444116992.0,344.0,4.0,6.0,0.0,1.0
1.571,5.236,90.838,0.0,0.0,2.356,3401740.0,704.0,173973504.0,47890432.0,302596096.0,443748352.0,343.0,3.0,6.0,0.0,1.0
0.815,1.087,97.011,0.0,0.0,1.087,3388384.0,712.0,173506560.0,47890432.0,302596096.0,444215296.0,344.0,4.0,6.0,0.0,1.0
0.806,2.419,95.430,0.0,0.0,1.344,3378312.0,924.0,172392448.0,47890432.0,302596096.0,445329408.0,344.0,4.0,6.0,0.0,1.0
0.522,3.916,93.211,0.0,0.0,2.350,3338841.0,704.0,172032000.0,47890432.0,302596096.0,445689856.0,344.0,4.0,6.0,0.0,1.0
2.057,4.627,89.203,0.257,0.0,3.856,3392060.0,614.0,172711936.0,47898624.0,302596096.0,445001728.0,344.0,4.0,6.0,0.0,1.0
1.042,5.208,91.667,0.0,0.0,2.083,3367992.0,704.0,172253184.0,47898624.0,302596096.0,445460480.0,343.0,4.0,6.0,0.0,1.0
1.096,1.096,96.986,0.0,0.0,0.822,3410436.0,712.0,172580864.0,47898624.0,302596096.0,445132800.0,344.0,5.0,6.0,0.0,1.0
1.108,11.357,84.488,0.0,0.0,3.047,3362388.0,802.0,172515328.0,47898624.0,302596096.0,445198336.0,344.0,5.0,6.0,0.0,1.0
0.556,10.833,87.500,0.0,0.0,1.111,3423104.0,614.0,172482560.0,47898624.0,302596096.0,445231104.0,344.0,5.0,6.0,0.0,1.0
0.526,9.211,88.684,0.0,0.0,1.579,3377860.0,712.0,172736512.0,47906816.0,302596096.0,444968960.0,344.0,5.0,6.0,0.0,1.0
1.087,2.174,96.196,0.0,0.0,0.543,3410816.0,704.0,172736512.0,47906816.0,302596096.0,444968960.0,344.0,5.0,6.0,0.0,1.0
1.837,3.150,92.388,0.0,0.0,2.625,3354352.0,614.0,172974080.0,47906816.0,302596096.0,444731392.0,344.0,5.0,6.0,0.0,1.0
1.299,4.675,90.909,0.0,0.0,3.117,3358772.0,712.0,173473792.0,47906816.0,302596096.0,444231680.0,344.0,5.0,6.0,0.0,1.0
2.062,5.412,90.464,0.0,0.0,2.062,3287212.0,778.0,173031424.0,47906816.0,302596096.0,444674048.0,344.0,5.0,6.0,0.0,1.0
0.277,3.047,96.399,0.0,0.0,0.277,3405968.0,680.0,173907968.0,47915008.0,302596096.0,443789312.0,344.0,5.0,6.0,0.0,1.0
1.600,2.933,93.333,0.0,0.0,2.133,3371448.0,778.0,172695552.0,47915008.0,302596096.0,445001728.0,344.0,5.0,6.0,0.0,1.0
1.852,3.704,92.593,0.0,0.0,1.852,3426948.0,614.0,173154304.0,47915008.0,302596096.0,444542976.0,344.0,5.0,6.0,0.0,1.0
1.302,5.469,90.104,0.0,0.0,3.125,3386140.0,770.0,173379584.0,47915008.0,302600192.0,444313600.0,344.0,5.0,6.0,0.0,1.0
1.340,4.558,93.834,0.0,0.0,0.268,3386288.0,778.0,172888064.0,47915008.0,302600192.0,444805120.0,344.0,5.0,6.0,0.0,1.0
1.081,4.054,93.243,0.0,0.0,1.622,3326760.0,1080.0,171139072.0,47923200.0,302604288.0,446541824.0,344.0,4.0,6.0,0.0,1.0
1.667,8.333,88.333,0.0,0.0,1.667,3413513.0,704.0,172548096.0,47923200.0,302604288.0,445132800.0,344.0,4.0,6.0,0.0,1.0
1.133,11.331,85.836,0.0,0.0,1.700,3409016.0,156.0,172822528.0,47923200.0,302460928.0,445001728.0,343.0,3.0,6.0,0.0,1.0
0.798,7.979,89.628,0.0,0.0,1.596,3368904.0,164.0,172691456.0,47923200.0,302460928.0,445132800.0,344.0,4.0,6.0,0.0,1.0
1.381,0.552,96.409,0.0,0.0,1.657,3413816.0,466.0,173150208.0,47923200.0,302460928.0,444674048.0,344.0,4.0,6.0,0.0,1.0
2.394,3.457,92.819,0.266,0.0,1.064,3393988.0,0.0,173268992.0,47935488.0,302460928.0,444542976.0,344.0,4.0,6.0,0.0,1.0
1.847,2.639,93.140,0.0,0.0,2.375,3373428.0,156.0,172552192.0,47935488.0,302460928.0,445259776.0,343.0,3.0,6.0,0.0,1.0
0.756,7.305,89.421,0.0,0.0,2.519,3404742.0,1392.0,172158976.0,47935488.0,302460928.0,445652992.0,344.0,4.0,6.0,0.0,1.0
0.538,2.688,95.968,0.0,0.0,0.806,3369252.0,712.0,172158976.0,47935488.0,302460928.0,445652992.0,344.0,4.0,6.0,0.0,1.0
0.787,2.362,94.751,0.0,0.0,2.100,2447100.0,614.0,172478464.0,47935488.0,302460928.0,445333504.0,344.0,4.0,6.0,0.0,1.0
1.795,2.051,94.872,0.0,0.0,1.282,576700.0,924.0,172613632.0,47943680.0,302452736.0,445198336.0,344.0,4.0,6.0,0.0,1.0
