"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs32B.csv -cnm --socket 1 300",,,,"Date:","21 Jul 2017 10:34:05 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
2.662,4.107,91.855,0.151,0.0,1.225,0.0,0.0,149286912.0,56651776.0,379379712.0,382889984.0,346.0,4.0,6.0,0.0,0.0
1.437,9.770,84.483,0.0,0.0,4.310,553672.0,204543.0,149151744.0,56651776.0,379383808.0,383021056.0,345.0,3.0,6.0,0.0,0.0
0.820,13.115,81.967,0.0,0.0,4.098,537696.0,212501.0,149078016.0,56651776.0,379383808.0,383094784.0,345.0,4.0,6.0,0.0,0.0
0.538,14.516,81.452,0.0,0.0,3.495,468604.0,248234.0,149151744.0,56651776.0,379383808.0,383021056.0,346.0,4.0,6.0,0.0,0.0
0.538,5.108,91.667,0.269,0.0,2.419,195228.0,89678.0,149139456.0,56659968.0,379387904.0,383021056.0,346.0,4.0,6.0,0.0,0.0
2.400,6.400,87.200,0.0,0.0,4.0,259434.0,153558.0,149139456.0,56659968.0,379387904.0,383021056.0,346.0,4.0,6.0,0.0,0.0
0.560,12.045,82.353,0.0,0.0,5.042,531492.0,196776.0,149266432.0,56659968.0,379387904.0,382894080.0,345.0,3.0,6.0,0.0,0.0
0.560,12.885,83.193,0.0,0.0,3.361,505328.0,205408.0,149266432.0,56659968.0,379387904.0,382894080.0,346.0,4.0,6.0,0.0,0.0
0.543,12.500,81.250,0.0,0.0,5.707,492886.0,231390.0,149266432.0,56659968.0,379387904.0,382894080.0,346.0,4.0,6.0,0.0,0.0
1.381,13.536,80.663,0.276,0.0,4.144,460028.0,174440.0,149139456.0,56659968.0,379387904.0,383021056.0,346.0,4.0,6.0,0.0,0.0
1.330,16.489,75.266,0.0,0.0,6.915,421936.0,150422.0,149127168.0,56659968.0,379424768.0,382996480.0,345.0,3.0,6.0,0.0,0.0
0.850,20.680,74.221,0.0,0.0,4.249,535460.0,211680.0,149102592.0,56659968.0,379424768.0,383021056.0,346.0,4.0,6.0,0.0,0.0
0.278,13.333,81.944,0.0,0.0,4.444,511602.0,237809.0,149118976.0,56659968.0,379424768.0,383004672.0,346.0,4.0,6.0,0.0,0.0
0.813,13.550,81.843,0.0,0.0,3.794,455094.0,234152.0,149110784.0,56659968.0,379424768.0,383012864.0,345.0,3.0,6.0,0.0,0.0
0.843,13.202,83.427,0.0,0.0,2.528,544592.0,197894.0,149110784.0,56659968.0,379424768.0,383012864.0,346.0,4.0,6.0,0.0,0.0
1.604,10.695,81.283,0.0,0.0,6.417,469169.0,258116.0,149090304.0,56664064.0,379424768.0,383029248.0,346.0,4.0,6.0,0.0,0.0
1.070,15.241,78.342,0.0,0.0,5.348,540620.0,201382.0,149082112.0,56664064.0,379424768.0,383037440.0,345.0,3.0,6.0,0.0,0.0
0.542,13.821,80.217,0.0,0.0,5.420,515380.0,209622.0,149082112.0,56664064.0,379424768.0,383037440.0,346.0,4.0,6.0,0.0,0.0
1.111,13.056,81.944,0.0,0.0,3.889,566361.0,188891.0,149082112.0,56664064.0,379424768.0,383037440.0,346.0,4.0,6.0,0.0,0.0
1.087,13.043,81.250,0.0,0.0,4.620,500706.0,197364.0,149057536.0,56664064.0,379424768.0,383062016.0,345.0,3.0,6.0,0.0,0.0
0.0,13.889,81.944,0.0,0.0,4.167,544836.0,206780.0,149078016.0,56668160.0,379424768.0,383037440.0,346.0,4.0,6.0,0.0,0.0
0.802,14.706,79.679,0.0,0.0,4.813,505616.0,238757.0,149078016.0,56668160.0,379424768.0,383037440.0,345.0,4.0,6.0,0.0,0.0
0.524,17.801,73.298,0.0,0.0,8.377,513300.0,189924.0,149110784.0,56668160.0,379424768.0,383004672.0,346.0,4.0,6.0,0.0,0.0
0.560,20.728,73.389,0.0,0.0,5.322,497782.0,220851.0,149143552.0,56668160.0,379424768.0,382971904.0,347.0,4.0,6.0,0.0,0.0
0.860,19.484,75.072,0.0,0.0,4.585,548362.0,205000.0,149176320.0,56668160.0,379424768.0,382939136.0,346.0,3.0,6.0,0.0,0.0
0.533,13.333,78.933,0.0,0.0,7.200,529016.0,210504.0,149172224.0,56672256.0,379424768.0,382939136.0,347.0,4.0,6.0,0.0,0.0
0.796,16.446,78.249,0.0,0.0,4.509,511165.0,204223.0,149204992.0,56672256.0,379424768.0,382906368.0,346.0,4.0,6.0,0.0,0.0
0.840,13.445,82.633,0.0,0.0,3.081,574526.0,195964.0,149098496.0,56672256.0,379424768.0,383012864.0,345.0,3.0,6.0,0.0,0.0
0.543,14.130,80.435,0.0,0.0,4.891,559504.0,198871.0,149098496.0,56672256.0,379424768.0,383012864.0,345.0,3.0,6.0,0.0,0.0
0.824,13.462,81.319,0.0,0.0,4.396,543728.0,214440.0,149057536.0,56672256.0,379424768.0,383053824.0,346.0,4.0,6.0,0.0,0.0
1.377,12.948,81.543,0.0,0.0,4.132,545344.0,219933.0,149049344.0,56680448.0,379424768.0,383053824.0,345.0,3.0,6.0,0.0,0.0
